date,home_team,away_team,home_goals,away_goals,result
2026-08-21,Arsenal,Coventry City,3,0,H
2026-08-22,Hull City,Man United,2,0,H
2026-08-22,Everton,Crystal Palace,2,0,H
2026-08-22,Ipswich,Sunderland,2,1,H
2026-08-22,Nott'm Forest,Leeds,0,1,A
2026-08-22,Brentford,Tottenham,3,0,H
2026-08-23,Brighton,Aston Villa,4,0,H
2026-08-23,Man City,Bournemouth,2,1,H
2026-08-23,Newcastle,Liverpool,2,2,D
2026-08-24,Fulham,Chelsea,2,3,A
2026-08-28,Crystal Palace,Man City,1,4,A
2026-08-29,Liverpool,Nott'm Forest,2,2,D
2026-08-29,Bournemouth,Everton,1,1,D
2026-08-29,Coventry City,Hull City,0,1,A
2026-08-29,Tottenham,Newcastle,0,2,A
2026-08-30,Chelsea,Brighton,4,3,H
2026-08-30,Leeds,Brentford,1,1,D
2026-08-30,Sunderland,Fulham,1,0,H
2026-08-30,Man United,Ipswich,5,2,H
2026-08-31,Aston Villa,Arsenal,0,1,A
